PULocationID,zero_vehicle_rate
107,0.7698246140837608
108,0.2574589699578281
109,0.014004100435020518
110,0.026602247534529316
111,0.3703802907092335
112,0.5391115580354107
113,0.5565265177594156
114,0.7406627283227154
115,0.11837879570304949
116,0.6419096446695157
117,0.3530953455016261
118,0.0007760524252531853
119,0.7439391316005858
120,0.6745358555091461
121,0.09229823760845998
122,0.09155480022933316
123,0.19258431325628536
124,0.045465636609328605
125,0.7569697824250896
126,0.5536892602760849
127,0.7408875265109722
128,0.15824734270429852
129,0.24402446605209135
130,0.2071593426045057
131,0.02318900982209438
132,0.052117557850892775
133,0.43052134832398814
134,0.22455104139785909
135,0.1697086637819375
136,0.547909942241898
137,0.8040239600872989
138,0.15562744126432076
139,0.053963338353385557
140,0.8054927402267107
141,0.7343981621243257
142,0.6920523373301439
143,0.6156585997978292
144,0.7085791986138615
145,0.8917491076171131
146,0.5218644617673726
147,0.5317949479746984
148,0.7931316933234427
149,0.047415531911770836
150,0.0059304206050899075
151,0.6672508777208698
152,0.784913391710951
153,0.49526699724966605
154,1.5209637000475835e-06
155,0.05175055947240564
156,0.11133847035451937
157,0.08134629137394116
158,0.650238512141182
159,0.5159498769066746
160,0.10559866625368829
161,0.5645383178344395
162,0.816104175885711
163,0.7166378143196698
164,0.8501849270598175
165,0.04627754900805762
166,0.6916346614721709
167,0.37415446876738756
168,0.543178437925279
169,0.6641460458045314
170,0.8543142648958426
171,0.08661392106943148
172,0.20128129853559226
173,0.5000979062649902
174,0.8073108988453472
175,0.015908696729588098
176,0.03111183937669049
177,0.47503571638412956
178,0.20257913893025098
179,0.47181520629245716
180,0.061875075396642505
181,0.4593441367207216
182,0.5718610630970883
183,0.19958519183023352
184,1.2425593923906206e-05
185,0.24067188166104303
186,0.9019795515230817
187,0.02128611650404767
188,0.5137877350345512
189,0.5825143624901428
190,0.5675259257377266
191,0.036410899059826425
192,0.1361836890073553
193,0.4147962027949744
194,0.6925103945639934
195,0.5784181296068023
196,0.27664613849532343
197,0.18904592329511877
198,0.027599008276804622
199,0.17798989331836046
200,0.1618124870449479
201,0.024581480648504652
202,0.6163388404618457
203,0.0019321627210607622
204,0.0024429387364984017
205,0.022456126404794524
206,0.18992817147440516
207,0.17320171069387547
208,0.0544947009064155
209,0.57833448042387
210,0.12115216931313633
211,0.7481516593123438
212,0.37685472428701594
213,0.25788679916488483
214,0.07555229186948303
215,0.07843327248005705
216,0.010728995408605177
217,0.48266857037261873
218,0.09930749677794666
219,0.07479391197510492
220,0.2467673017149189
221,0.04453042296554851
222,0.46880327800385174
223,0.3321802506415976
224,0.6742443494560715
225,0.5293352578267453
226,0.03214043063079597
227,0.3942186716374446
228,0.4800560505443321
229,0.6533908809370315
230,0.9917795196899237
231,0.6665644429030009
232,0.5798633775169575
233,0.830548969599956
234,0.7651339058649594
235,0.5631390324863709
236,0.49140422560499275
237,0.5340653786913433
238,0.6427555518977754
239,0.6718492323727298
240,0.5703936717128553
241,0.49631001586843104
242,0.20040555680377672
243,0.5432809705641178
244,0.7845186111489764
245,0.007193857008704327
246,0.8154196443899117
247,0.6735880994560698
248,0.5053965359371774
249,0.8221957353011279
250,0.2840139482092956
251,0.02519317309075621
252,0.05387470696053695
253,0.46532409689758136
254,0.2064704056158156
255,0.5445054130132977
256,0.6368743033961777
257,0.2627806141275744
258,0.1770822900942933
259,0.013981365326144291
260,0.3039357482524311
261,0.884685500271599
262,0.49354181166460986
263,0.6971211381191941
