GEOID,total_households,zero_vehicle_households,car_ownership_rate
1400000US36005045101,827,311,0.37605804111245467
1400000US36005045102,1107,217,0.1960252935862692
1400000US36005045600,1809,234,0.12935323383084577
1400000US36005045800,1640,1121,0.6835365853658537
1400000US36005046000,1223,472,0.3859362224039248
1400000US36005046203,1956,875,0.44734151329243355
1400000US36005046204,2277,680,0.29863855950812473
1400000US36005046205,1610,616,0.3826086956521739
1400000US36005046206,1873,711,0.3796049119060331
1400000US36005046207,2676,952,0.35575485799701045
1400000US36005046208,2226,183,0.08221024258760108
1400000US36005046209,1425,814,0.5712280701754386
1400000US36005048401,1748,334,0.19107551487414187
1400000US36005051601,1337,141,0.10545998504113688
1400000US36047000100,2866,1209,0.42184228890439635
1400000US36047000200,591,275,0.4653130287648054
1400000US36047000301,2427,1336,0.5504738360115369
1400000US36047000501,2090,1362,0.6516746411483254
1400000US36047000502,1524,840,0.5511811023622047
1400000US36047000700,2637,1686,0.6393629124004551
1400000US36047000900,3093,1908,0.6168768186226964
1400000US36047001100,1214,960,0.7907742998352554
1400000US36047001300,1530,924,0.6039215686274509
1400000US36047001501,2553,2232,0.8742655699177438
1400000US36047001502,3368,2726,0.8093824228028503
1400000US36047002000,683,350,0.5124450951683748
1400000US36047002100,4350,2118,0.4868965517241379
1400000US36047002200,1730,684,0.3953757225433526
1400000US36047002300,1176,967,0.8222789115646258
1400000US36047002901,664,481,0.7243975903614458
1400000US36047003000,942,215,0.22823779193205945
1400000US36047003101,2150,1584,0.7367441860465116
1400000US36047003300,2751,2228,0.8098873137041076
1400000US36047003400,1729,754,0.43609022556390975
1400000US36047003500,1446,808,0.5587828492392808
1400000US36047003600,1812,488,0.2693156732891832
1400000US36047003700,2904,2074,0.7141873278236914
1400000US36047003800,729,40,0.05486968449931413
1400000US36047003900,1845,1346,0.7295392953929539
1400000US36047004100,1983,1402,0.7070095814422592
1400000US36047004300,2383,1575,0.6609315988250105
1400000US36047004400,923,151,0.1635969664138678
1400000US36047004500,2498,1073,0.42954363490792635
1400000US36047004600,496,22,0.04435483870967742
1400000US36047004700,1012,343,0.33893280632411066
1400000US36047004900,1263,540,0.42755344418052255
1400000US36047005000,1110,160,0.14414414414414414
1400000US36047005100,1497,542,0.3620574482297929
1400000US36047005201,668,177,0.26497005988023953
1400000US36047005202,1395,453,0.3247311827956989
1400000US36047005301,1276,224,0.1755485893416928
1400000US36047005302,45,29,0.6444444444444445
1400000US36047005303,105,46,0.4380952380952381
1400000US36047005400,2113,775,0.3667770941788926
1400000US36047005601,1424,644,0.45224719101123595
1400000US36047005602,1075,348,0.32372093023255816
1400000US36047005800,1543,703,0.45560596241088785
1400000US36047005900,780,196,0.2512820512820513
1400000US36047006000,1159,255,0.2200172562553926
1400000US36047006200,1233,573,0.46472019464720193
1400000US36047006300,1172,543,0.46331058020477817
1400000US36047006400,1626,533,0.32779827798277983
1400000US36047006500,3767,1590,0.42208654101406956
1400000US36047006600,2190,1231,0.5621004566210046
