GEO_ID,NAME,B19013_001E,B19013_001M
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)
1400000US36005042400,Census Tract 424; Bronx County; New York,106468,25008
1400000US36005042500,Census Tract 425; Bronx County; New York,48280,15655
1400000US36005042600,Census Tract 426; Bronx County; New York,99764,38246
1400000US36005042800,Census Tract 428; Bronx County; New York,168646,112521
1400000US36005042901,Census Tract 429.01; Bronx County; New York,46779,17578
1400000US36005042902,Census Tract 429.02; Bronx County; New York,44663,12493
1400000US36005043000,Census Tract 430; Bronx County; New York,85074,22045
1400000US36005043101,Census Tract 431.01; Bronx County; New York,40089,18894
1400000US36005043102,Census Tract 431.02; Bronx County; New York,50926,18889
1400000US36005043400,Census Tract 434; Bronx County; New York,76036,36501
1400000US36005043501,Census Tract 435.01; Bronx County; New York,-,**
1400000US36005043502,Census Tract 435.02; Bronx County; New York,-,**
1400000US36005043503,Census Tract 435.03; Bronx County; New York,-,**
1400000US36005043600,Census Tract 436; Bronx County; New York,84735,20551
1400000US36005044200,Census Tract 442; Bronx County; New York,56434,55148
1400000US36005044400,Census Tract 444; Bronx County; New York,89615,58943
1400000US36005044800,Census Tract 448; Bronx County; New York,104094,28957
1400000US36005044901,Census Tract 449.01; Bronx County; New York,91419,13990
1400000US36005044902,Census Tract 449.02; Bronx County; New York,99297,18508
1400000US36005045101,Census Tract 451.01; Bronx County; New York,77246,19280
1400000US36005045102,Census Tract 451.02; Bronx County; New York,99395,5864
1400000US36005045600,Census Tract 456; Bronx County; New York,79386,12039
1400000US36005045800,Census Tract 458; Bronx County; New York,30453,8199
1400000US36005046000,Census Tract 460; Bronx County; New York,44355,10595
1400000US36005046203,Census Tract 462.03; Bronx County; New York,40755,10732
1400000US36005046204,Census Tract 462.04; Bronx County; New York,63652,16895
1400000US36005046205,Census Tract 462.05; Bronx County; New York,75679,19132
1400000US36005046206,Census Tract 462.06; Bronx County; New York,67234,12525
1400000US36005046207,Census Tract 462.07; Bronx County; New York,59838,22544
1400000US36005046208,Census Tract 462.08; Bronx County; New York,87061,32217
1400000US36005046209,Census Tract 462.09; Bronx County; New York,30185,24453
1400000US36005048401,Census Tract 484.01; Bronx County; New York,88862,17745
1400000US36005048402,Census Tract 484.02; Bronx County; New York,-,**
1400000US36005050400,Census Tract 504; Bronx County; New York,-,**
1400000US36005051601,Census Tract 516.01; Bronx County; New York,103125,43009
1400000US36005051602,Census Tract 516.02; Bronx County; New York,-,**
1400000US36047000100,Census Tract 1; Kings County; New York,178162,26387
1400000US36047000200,Census Tract 2; Kings County; New York,79375,19147
1400000US36047000301,Census Tract 3.01; Kings County; New York,185128,49511
1400000US36047000501,Census Tract 5.01; Kings County; New York,141364,44488
1400000US36047000502,Census Tract 5.02; Kings County; New York,168013,22843
1400000US36047000700,Census Tract 7; Kings County; New York,201827,72667
1400000US36047000900,Census Tract 9; Kings County; New York,205500,39244
1400000US36047001100,Census Tract 11; Kings County; New York,203958,64291
1400000US36047001300,Census Tract 13; Kings County; New York,139866,39564
1400000US36047001501,Census Tract 15.01; Kings County; New York,142560,37986
1400000US36047001502,Census Tract 15.02; Kings County; New York,138179,17075
1400000US36047001801,Census Tract 18.01; Kings County; New York,-,**
1400000US36047001802,Census Tract 18.02; Kings County; New York,-,**
1400000US36047001803,Census Tract 18.03; Kings County; New York,-,**
1400000US36047001804,Census Tract 18.04; Kings County; New York,-,**
1400000US36047002000,Census Tract 20; Kings County; New York,81458,16547
1400000US36047002100,Census Tract 21; Kings County; New York,"250,000+",***
1400000US36047002200,Census Tract 22; Kings County; New York,41852,14340
1400000US36047002300,Census Tract 23; Kings County; New York,34977,18244
